id_titulo,id_pais,es_primario
1,116,True
2,100,True
5,46,True
8,116,True
8,40,False
8,18,False
8,115,False
8,39,False
8,35,False
9,115,True
10,116,True
13,39,True
13,29,False
16,116,True
18,68,True
22,111,True
25,46,True
26,7,True
28,116,True
29,116,True
30,116,True
30,46,False
30,37,False
33,115,True
38,36,True
39,24,True
39,21,False
39,116,False
40,46,True
41,116,True
42,116,True
43,116,True
44,116,True
45,116,True
47,100,True
47,116,False
47,54,False
49,116,True
50,78,True
51,46,True
52,54,True
53,54,True
54,54,True
55,54,True
56,116,True
57,54,True
58,54,True
59,54,True
60,54,True
61,54,True
62,54,True
63,54,True
64,54,True
66,115,True
67,46,True
68,116,True
70,46,True
73,115,True
74,78,True
77,54,True
82,116,True
83,116,True
85,78,True
91,103,True
91,116,False
92,37,True
93,13,True
95,115,True
95,116,False
96,116,True
96,115,False
97,116,True
98,116,True
99,115,True
100,37,True
100,116,False
102,116,True
105,101,True
106,46,True
107,116,True
108,116,True
109,7,True
110,103,True
112,116,True
112,96,False
115,46,True
116,115,True
116,7,False
116,37,False
117,46,True
118,115,True
118,116,False
119,46,True
121,7,True
123,115,True
123,7,False
123,37,False
123,116,False
125,101,True
126,116,True
127,46,True
128,116,True
128,21,False
130,39,True
130,116,False
132,116,True
134,100,True
134,116,False
135,116,True
135,68,False
136,116,True
136,52,False
136,37,False
136,54,False
137,116,True
137,52,False
137,90,False
137,115,False
138,7,True
138,116,False
139,116,True
140,116,True
141,5,True
141,119,False
142,116,True
142,115,False
142,21,False
143,39,True
143,116,False
144,116,True
145,116,True
146,116,True
147,116,True
150,116,True
151,116,True
152,24,True
152,43,False
153,116,True
154,91,True
155,54,True
156,115,True
156,116,False
157,116,True
158,21,True
159,116,True
160,43,True
161,116,True
162,116,True
163,116,True
163,24,False
163,43,False
164,116,True
165,116,True
167,52,True
167,116,False
168,116,True
168,21,False
169,116,True
170,116,True
171,116,True
172,116,True
173,116,True
173,39,False
174,116,True
175,116,True
176,116,True
177,116,True
178,115,True
178,116,False
179,116,True
180,116,True
183,116,True
184,116,True
185,116,True
189,37,True
191,46,True
192,115,True
192,21,False
192,116,False
193,46,True
194,101,True
196,46,True
199,78,True
200,46,True
201,46,True
202,46,True
203,46,True
204,46,True
205,46,True
206,46,True
207,46,True
208,46,True
209,46,True
210,46,True
211,46,True
212,46,True
213,50,True
216,46,True
217,46,True
218,46,True
220,54,True
221,116,True
228,116,True
229,116,True
229,115,False
230,116,True
232,116,True
233,116,True
234,115,True
242,116,True
248,116,True
252,116,True
254,46,True
255,116,True
260,46,True
260,74,False
264,116,True
265,116,True
266,54,True
267,46,True
268,76,True
268,7,False
268,37,False
268,116,False
270,52,True
271,52,True
271,16,False
271,41,False
272,116,True
273,116,True
274,37,True
275,116,True
276,5,True
277,103,True
278,55,True
279,25,True
280,116,True
280,54,False
281,116,True
282,78,True
283,68,True
284,13,True
284,115,False
285,115,True
285,116,False
286,107,True
286,115,False
286,7,False
287,116,True
289,25,True
290,101,True
291,116,True
292,54,True
293,115,True
294,100,True
296,116,True
297,51,True
297,116,False
298,46,True
299,78,True
300,37,True
301,21,True
301,116,False
302,46,True
